Cell ID,PseudoTime,Time,Experiment
E0_32,0.04005006257822278,32.0,0
E1_454,0.5682102628285357,454.0,1
E2_310,0.3879849812265332,310.0,2
E3_470,0.5882352941176471,470.0,3
E4_73,0.09136420525657071,73.0,4
E5_565,0.7071339173967459,565.0,5
E6_739,0.9249061326658323,739.0,6
E7_293,0.3667083854818523,293.0,7
E8_383,0.4793491864831039,383.0,8
E9_495,0.6195244055068836,495.0,9
E10_104,0.13016270337922403,104.0,10
E11_769,0.9624530663329162,769.0,11
E12_354,0.4430538172715895,354.0,12
E13_460,0.5757196495619524,460.0,13
E14_121,0.15143929912390489,121.0,14
E15_704,0.8811013767209012,704.0,15
E16_719,0.899874843554443,719.0,16
E17_150,0.18773466833541927,150.0,17
E18_282,0.35294117647058826,282.0,18
E19_648,0.8110137672090113,648.0,19
E20_455,0.5694618272841051,455.0,20
E21_704,0.8811013767209012,704.0,21
E22_178,0.2227784730913642,178.0,22
E23_372,0.4655819774718398,372.0,23
E24_624,0.7809762202753442,624.0,24
E25_689,0.8623279098873592,689.0,25
E26_164,0.20525657071339173,164.0,26
E27_639,0.799749687108886,639.0,27
E28_481,0.6020025031289111,481.0,28
E29_608,0.7609511889862328,608.0,29
E30_290,0.36295369211514394,290.0,30
E31_529,0.6620775969962454,529.0,31
E32_274,0.3429286608260325,274.0,32
E33_23,0.028785982478097622,23.0,33
E34_19,0.023779724655819776,19.0,34
E35_719,0.899874843554443,719.0,35
E36_155,0.1939924906132666,155.0,36
E37_661,0.8272841051314143,661.0,37
E38_341,0.4267834793491865,341.0,38
E39_720,0.9011264080100125,720.0,39
E40_161,0.20150187734668334,161.0,40
E41_217,0.2715894868585732,217.0,41
E42_257,0.3216520650813517,257.0,42
E43_701,0.8773466833541927,701.0,43
E44_796,0.9962453066332916,796.0,44
E45_152,0.1902377972465582,152.0,45
E46_100,0.1251564455569462,100.0,46
E47_252,0.31539424280350437,252.0,47
E48_713,0.8923654568210263,713.0,48
E49_84,0.10513141426783479,84.0,49
E50_512,0.6408010012515645,512.0,50
E51_97,0.1214017521902378,97.0,51
E52_424,0.5306633291614519,424.0,52
E53_156,0.19524405506883605,156.0,53
E54_71,0.08886107634543179,71.0,54
E55_368,0.46057571964956195,368.0,55
E56_139,0.1739674593241552,139.0,56
E57_556,0.6958698372966208,556.0,57
E58_102,0.1276595744680851,102.0,58
E59_181,0.2265331664580726,181.0,59
E60_549,0.6871088861076345,549.0,60
E61_705,0.8823529411764706,705.0,61
E62_542,0.6783479349186483,542.0,62
E63_618,0.7734668335419274,618.0,63
E64_304,0.3804755944931164,304.0,64
E65_366,0.45807259073842305,366.0,65
E66_133,0.16645807259073842,133.0,66
